ID,Title,"EFI Areas","EFI Events Categories","Event Categories",Sectors
42466,"Seizing the Means of Computation with Cory Doctorow ",,,"Power Trip: Autumn 2023",
43418,"Artificial Intelligence in Publishing",,,"Creative Industries|Training","Creative Industries"
44331,"Artificial Intelligence in Publishing",,,"Creative Industries|Training","Creative Industries"
44390,"The Violence Prevention Forum: A Dialogical Approach to Multi-Sectoral Engagement to Prevent Violence in South Africa",,,"Public Services|Talk/Discussion","Public Services"
44541,"Test event",,,,
44561,"Human-Centric Finance",,,"Financial Services &amp; FinTech|Talk/Discussion","Financial Services &amp; FinTech"
44569,"AI and Financial Innovation",,,"Financial Services &amp; FinTech|Lecture","Financial Services &amp; FinTech"
44594,"Doors Open Day at South College Street",,,,Community
44624,"Creative Informatics Innovation Showcase 2023",,,"Creative Industries|Exhibition","Creative Industries"
44785,"The Cabaret of Dangerous Ideas",,,Performance,
44791,"Citizens Data Agency Event Series – What mobilises people against Big-Tech?",,,Talk/Discussion,"Data &amp; AI ethics"
44795,"Sounding the Ice Factory",,,Talk/Discussion,
44801,"The sounds of feeling well, feeling cared for",,,Talk/Discussion,
44805,"Music-making beyond the classroom",,,Talk/Discussion,
44810,"FutureGaze: The Future of Creative Inclusion",,,"Creative Industries|Talk/Discussion","Creative Industries"
45211,"Edinburgh Reforms: regulatory frameworks for driving growth and competitiveness",,,"Financial Services &amp; FinTech|Lecture","Financial Services &amp; FinTech"
45254,"Dr Runa Mackay Legacy Lecture | Compassion And Justice: Conversations For Wellbeing Economy",,,Lecture,"Wellbeing economy"
45352,"Speculative Futures Central Scotland #1— Finn Strivens and Eva Oosterlaken",,,Talk/Discussion,
45357,"Digital Justice &amp; Policing 2023",,,Talk/Discussion,
45364,"Digital Scotland 2023",,,Talk/Discussion,
45369,"UK FinTech Symposium 2023",,,Talk/Discussion,
45447,"Conservation and heritage buildings archetype &amp; low-carbon heating approach",,,Workshop,
45569,"CDCS Annual Lecture 2023",,,Lecture,
45648,"Governing the AI Business Model: Platforms All the Way Down?",,,Lecture,"Data &amp; AI ethics"
45885,"Recycling a Hospital with Edinburgh Future’s Institute",,,Talk/Discussion,Community
46951,"Project Deep Dive: Justin Chun-ting Ho",,,Talk/Discussion,
47388,"Quantification of Labour: from the factory to the gig economy",,,Lecture,
47410,"Project Deep Dive: Anja Neundorf",,,Talk/Discussion,"Data &amp; AI ethics"
47438,"Music, Copyright &amp; Generative AI: Social, Ontological &amp; Legal Perspectives",,,Talk/Discussion,"Data &amp; AI ethics"
47478,"Climate Extremes and Decision-making: it's all about the models",,,Lecture,
47482,"AI Safety and AI Ethics: bridging cultures of existential and social risk",,,Lecture,
47527,"A New Sound",,,Performance,
47614,"Protecting the State, Protecting our Homes: governing and designing cybersecurity",,,Lecture,
47617,"Governance for a secure digital world",,,Lecture,
47674,"Compassion &amp; Transforming the Economy: Merging the ‘Why’ and the ‘How’",,,Talk/Discussion,"Wellbeing economy"
47691,"Datafied Publics: Inaugural Event for EFI Critical Data Studies Cluster","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,
47696,"Technomoral Conversations: Who is Responsible for Responsible AI?",,,Talk/Discussion,"Data &amp; AI ethics"
47701,"Using poetry to communicate about research",,,Workshop,
47754,"Project Deep Dive: Sruthi Herbert",,,Talk/Discussion,
47760,"Project Deep Dive: Sal Hagen ",,,Talk/Discussion,
47800,,,,,
47807,"Tech Tuesdays: The Future of Technology in Hospitality, Finance &amp; Payments",,,Talk/Discussion,"Tourism &amp; Festivals"
47979,"Book Launch: Environmental Ethics &amp; Medical Reproduction by Cristina Richie","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,Talk/Discussion,
48162,"Project Deep Dive: David Williamson Shaffer","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society|Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,Talk/Discussion,"Data &amp; AI ethics"
48172,"Book Launch – Tor: From the Dark Web to the Future of Privacy","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,
48197,"CDCS Summer School 2024","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",,,
48634,"Creative Feedback: The Feats and Failures of Technology","Research Clusters>Creativity, AI and the Human",,Performance|Talk/Discussion,
48670,"Imagining AI: computing stories in a museum context","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Talk/Discussion,Talk/Discussion,
48702,"Robotics in Hospitality &amp; Tourism: Practical Solutions for Your Business","Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",Talk/Discussion|Workshop,,
48799,"Edinburgh Futures Institute Guided Tours – Meadows Festival Weekend",,Tour,,Community
48828,"Creative Tech Scotland Gathering 2024",,Conference,"Creative Industries","Creative Industries"
48845,"Liquidity and execution: The resiliency effect on institutional trading costs",,Talk/Discussion,Talk/Discussion,"Financial Services &amp; FinTech"
48905,"Where are AI’s publics?","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,"Data &amp; AI ethics"
48954,"Economics of Financial Technology Conference",,,Conference,"Financial Services &amp; FinTech"
48965,"AI as the Broken Machine",,,Symposium,"Data &amp; AI ethics"
48987,"Ethical responsibilities in displaying provocative AI artistic experiences","Research Clusters>Creativity, AI and the Human",Talk/Discussion,Talk/Discussion,"Creative Industries|Data &amp; AI ethics"
48997,"How to Reclaim Our Humanity in the Age of AI",,Talk/Discussion,Talk/Discussion,"Data &amp; AI ethics"
49111,"Designing Data and Innovation Futures to Wear",,,Symposium,"Climate &amp; Sustainability|Data &amp; AI ethics|Financial Services &amp; FinTech"
49174,"The Creative AI Forum",,,Forum,"Creative Industries|Data &amp; AI ethics"
49186,"TikTok: Work, Time, and Play in a Platform Economy",,,Conference,"Data &amp; AI ethics"
49281,"Digital Cultural Heritage at Edinburgh Futures Institute: Research Exchange","Research Clusters>Digital Cultural Heritage",Talk/Discussion,Talk/Discussion,
49534,"Citizens Data Agency Exhibition Opening Event",,,Exhibition,
49666,"Annual Data Conference 2024: Data, Deepfakes and Democracy",,,Conference,"Data &amp; AI ethics"
49683,"AI as a creative companion for academia",,,Workshop,"Data &amp; AI ethics|Tourism &amp; Festivals"
49718,"Practical Utopias: Workshop",,Workshop,"Edinburgh International Book Festival|Workshop",Community
49721,"Recycling a Hospital Writing Workshop: Poetry, Memory and Future Dreaming",,Workshop,"Edinburgh International Book Festival|Workshop",Community
49724,"Words from the Wards: Jennifer Williams",,Talk/Discussion,"Edinburgh International Book Festival|Talk/Discussion|Workshop",Community
49726,"Spirit Case Tour",,,,
49767,"Madhumita Murgia &amp; Georgina Voss: The Systems Which Govern Us","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society|Culture &amp; Community",Talk/Discussion,"Edinburgh International Book Festival|Talk/Discussion",
49770,"Margaret Atwood: Practical Utopias – An Exploration of the Possible","Culture &amp; Community",Talk/Discussion,"Edinburgh International Book Festival|Talk/Discussion",
49856,"James Crawford: Traces of the Past",,,"Edinburgh International Book Festival|Talk/Discussion",
49931,"Page Against the Machine: Writing in the Age of Artificial Intelligence",,,"Edinburgh International Book Festival|Performance",
49984,"A Conversation about the Edinburgh Conversations",,Talk/Discussion,Talk/Discussion,
50006,,,,,
50008,,,,,
50009,,,,,
50019,"The Digital Museum Conference",,Conference,Conference,"Creative Industries|Data &amp; AI ethics"
50087,"Jeanette Winterson in Conversation with Ameca",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50090,"Literature is not a Luxury with Bernardine Evaristo",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50092,"Rooting Decolonial Education: Routes for Repair and Liberation",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",Education
50094,"AISOMA: Wayne McGregor x Edinburgh Futures Institute",,Performance,"Learning Curves: Autumn 2024|Performance",Education
50096,"The Future of Education: Crisis",,Talk/Discussion,"Edinburgh Futures Conversations|Learning Curves: Autumn 2024|Talk/Discussion",
50098,"The Future of Education: Utopia",,Talk/Discussion,"Edinburgh Futures Conversations|Learning Curves: Autumn 2024|Talk/Discussion",
50100,"Ex Silens: from the series ‘I Am Your Body’",,Performance,"Learning Curves: Autumn 2024|Performance",
50104,"The Future of AI at School",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50109,"Unco: LGBT+ Scots Glossar",,Performance,"Learning Curves: Autumn 2024|Performance",
50116,"The Future of Education: AI",,Talk/Discussion,"Edinburgh Futures Conversations|Learning Curves: Autumn 2024|Talk/Discussion",
50125,"Future Library and Futures Literacy: Making Futures from Where We Are",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50131,"Technomoral Conversations: What the Majority World Can Teach Us about AI",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50134,"Utopia Lab: Seats at the Table exhibition",,,"Exhibition|Learning Curves: Autumn 2024",
50144,"Contesting Computing: Imagining Feminist Technofutures",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",Education
50155,"Entanglements: Studies in falling, flowing, following",,Performance,"Learning Curves: Autumn 2024|Performance",Education
50184,"Entangled Performing with Karen Christopher",,Workshop,"Learning Curves: Autumn 2024|Workshop",
50187,"Entangled Singing with Rhubaba Choir",,Workshop,"Learning Curves: Autumn 2024|Workshop",
50193,"Video Games: Play and Pedagogy",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",Education
50286,"Niranthea: A Portrait of Multiplicity in Five Episodes",,,"Exhibition|Learning Curves: Autumn 2024",
50305,"Utopia Lab: Seats at the Table",,Workshop,"Learning Curves: Autumn 2024|Workshop",
50555,"Tech Tuesdays #3: Automation - Your New Business Partner","Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",Talk/Discussion,"Talk/Discussion|Tourism &amp; Festivals","Tourism &amp; Festivals"
50602,"Speculative Futures Meet-Up #3: Futures Boardgames","Centres, Hubs, Projects &amp; Networks>Data + Design Lab",,Talk/Discussion|Workshop,
50611,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
50661,"FinTech Scotland Festival ",,,"Conference|Financial Services &amp; FinTech|Talk/Discussion|Workshop","Financial Services &amp; FinTech"
50678,"Doors Open Days at Edinburgh Futures Institute",,,,
50710,"Doors Open Days at Edinburgh Futures Institute",,,,
50722,"Open Methods for Digital Conservation of Historic Musical Instruments","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Talk/Discussion,Talk/Discussion,
50728,"Wikidata, biographical lives, and linked infrastructures of women’s work 1870-1950","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Talk/Discussion,Talk/Discussion,
50735,"The Politics of Numbers: Queer Data and the Counting of LGBTQ Communities","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Talk/Discussion,Talk/Discussion,
51202,"Alternative Futures – Who Decides?",,,Exhibition,Community
51233,"Inaugural Lecture of Professor Shannon Vallor","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",Lecture,Lecture,"Data &amp; AI ethics"
51253,"CTMF Flagship Lecture with Professor C. Thi Nguyen","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",Lecture,Lecture,"Data &amp; AI ethics"
51397,"Poetry for Change and Action","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,Workshop,
51410,"Poetry for Change and Action","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,Workshop,
51430,"Critical Data Studies Cluster Coffee Morning",,,"Coffee Morning","Data &amp; AI ethics"
51621,,,,,
51622,"A digital economy in crisis: Palestine’s tech sector and the road to economic recovery",,,Talk/Discussion,
51638,"A Neuropolitical Understanding of Government and Opposition",,,Lecture,
51738,"Beyond Precarity: Imaginaries, Constraints, and the Meaning of Platform Work","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,
51777,"Here Be Dragons: The Challenges of Pursuing Responsible AI","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,
51823,"Poetry for Change and Action","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,Workshop,
51825,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51827,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51829,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51831,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51833,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51835,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51837,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51839,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51841,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51843,"The Binks Hub – Creative Research Methods Reading Group",,,"Reading Group","Creative Industries"
51845,"Poetry for Change and Action","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,Workshop,
51859,"How to Find the Soul of a Sailor: Artist Talk and Opening Event",,,Exhibition|Talk/Discussion,
51890,"Centre for Data, Culture and Society (CDCS) Annual Lecture 2024 – Professor Alex Gil","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Lecture,Lecture,
51972,,,,"Community Event",
52265,"Postgraduate study: Alumni panel and Q&amp;A",,,"Information session|Postgraduate online information session",
52305,"How Platforms Fail Democracy","Research Clusters>Media and Communications",,Talk/Discussion,
52745,"'In the Shadow of Tomorrow' A preview and an invitation",,Performance,"Making Waves: Spring 2025|Performance",
52747,"Kathleen Jamie &amp; Painting Music",,,"Making Waves: Spring 2025|Performance",
52755,"Fern Brady in conversation with Michael Pedersen",,,"Making Waves: Spring 2025|Talk/Discussion",
52762,"Creating to Celebrate: the Edinburgh Seven Tapestry",,,"Making Waves: Spring 2025|Talk/Discussion",
52766,"Culture is Bad for You",,,"Making Waves: Spring 2025|Talk/Discussion",
52773,"In Pursuit of Justice: Lockerbie",,Talk/Discussion,"Making Waves: Spring 2025|Performance",
52778,"Technomoral Conversations: AI &amp; Creative Labour",,,"Making Waves: Spring 2025|Talk/Discussion",
52780,"Future-Proofing Creative Skills for Responsible AI Adoption","Research Clusters>Creativity, AI and the Human",,"Making Waves: Spring 2025|Workshop",
52782,"A&amp;I (Beta): Orange Grove Dance’s Embodied Performance with AI",,,"Making Waves: Spring 2025|Performance",
52784,"Utopia Lab: The Understorey ",,,"Making Waves: Spring 2025|Workshop",
52786,"David Farrier: Nature’s Genius",,,"Making Waves: Spring 2025|Talk/Discussion",
52788,"The New Real Salon: Doing AI Differently ",,,"Making Waves: Spring 2025|Talk/Discussion",
52790,"Marcus du Sautoy: How Mathematics Shapes Creativity",,,"Making Waves: Spring 2025|Talk/Discussion",
52799,"Reconstructing the Roman Transport Network: New Methods and Approaches to Modelling Mobility from the R3UrbN Project","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Talk/Discussion,Talk/Discussion,
52846,"Opens and Closes: the future of Edinburgh’s histories Premiere","Centres, Hubs, Projects &amp; Networks>Data Civics",,,
52908,"AI and Digital Innovations for Voice and Vocal Music","Research Clusters>Creativity, AI and the Human",,Conference,"Data &amp; AI ethics"
53032,"The Binks Hub – Creative Research Methods Reading Group","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,"Reading Group","Creative Industries"
53035,"The Binks Hub – Creative Research Methods Reading Group","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,"Reading Group","Creative Industries"
53037,"The Binks Hub – Creative Research Methods Reading Group","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,"Reading Group","Creative Industries"
53039,"The Binks Hub – Creative Research Methods Reading Group","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,"Reading Group","Creative Industries"
53041,"The Binks Hub – Creative Research Methods Reading Group","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,"Reading Group","Creative Industries"
53167,"Future-Proofing Creative Skills for Responsible AI Adoption","Research Clusters>Creativity, AI and the Human",,"Making Waves: Spring 2025|Workshop",
53170,"Future-Proofing Creative Skills for Responsible AI Adoption","Research Clusters>Creativity, AI and the Human",,"Making Waves: Spring 2025|Workshop",
