ID,Title,"EFI Areas","Areas of Expertise","UoE Schools",Sectors
48411,"Hannah Fitzpatrick","Research Clusters>Game Worlds","and geohumanities|borders and boundaries|critical theory|historical and political geographer|histories of geography and cartography|south asian area studies|territorial partitions","College of Science &amp; Engineering>School of GeoSciences",
48413,"Mike Anusas","Research Clusters>Game Worlds",,"College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48463,"Kirsty Hope",Education,,,
48514,"Alexandros Kapatais","Research Clusters>Pioneering Analytics for Transformative Higher Education",,"College of Arts, Humanities &amp; Social Sciences>School of Health in Social Science",
48518,"Rea Michalopoulou","Research Clusters>Children, Interaction and Design|Research Clusters>Pioneering Analytics for Transformative Higher Education",,"College of Arts, Humanities &amp; Social Sciences>School of Health in Social Science",
48533,"Jane McKie","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
48535,"Beverley Hood","Research Clusters>Creativity, AI and the Human|Research Clusters>Media and Communications","AI ethics, responsibility, and governance|AI in creative domains|Data|Digital Design|Human-centred and social dimensions of AI|Political Communications|Screen Studies|Social Media","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48537,"Caterina Moruzzi","Research Clusters>Creativity, AI and the Human|Research Clusters>Critical Data Studies","AI ethics, responsibility, and governance|AI in creative domains|AI in knowledge and learning contexts|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48539,"Aditi Surana","Research Clusters>Creativity, AI and the Human","Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48541,"Alec Wright","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48543,"Alexandra Huang","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
48545,"Asad Khan","Research Clusters>Creativity, AI and the Human","Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48547,"Bettina Nissen","Research Clusters>Creativity, AI and the Human","Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48549,"Billy Dixon","Research Clusters>Creativity, AI and the Human","AI in creative domains|Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48551,"Cenk Koknar","Research Clusters>Creativity, AI and the Human","Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48553,"Chanhjian Li","Research Clusters>Creativity, AI and the Human",,"College of Science &amp; Engineering>School of Informatics",
48555,"Charlotte Bird","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48556,"Denitsa Petrova","Research Clusters>Creativity, AI and the Human","AI in creative domains|AI in knowledge and learning contexts|Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48558,"Evan Morgan","Research Clusters>Creativity, AI and the Human","AI in creative domains|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48560,"Ian Rothwell","Research Clusters>Creativity, AI and the Human|Research Clusters>Media and Communications","AI ethics, responsibility, and governance|AI in creative domains|Digital Design|Screen Studies|Social Media|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48562,"Jade Wang","Research Clusters>Creativity, AI and the Human","AI in creative domains|AI in knowledge and learning contexts|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
48564,"Jiarong Yu","Research Clusters>Creativity, AI and the Human","AI in creative domains|AI in knowledge and learning contexts|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48565,"Lara Dal Molin","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
48567,"Louis McHugh","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48569,"Lynda Clark","Research Clusters>Creativity, AI and the Human","AI in creative domains|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
48571,"Martin Disley","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48573,"Martin Parker","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48574,"Nichole Fernandez","Research Clusters>Creativity, AI and the Human",,"College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48576,"Nikki Moran","Research Clusters>Creativity, AI and the Human","AI in creative domains|AI in knowledge and learning contexts|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48578,"Patricia Wu Wu","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
48579,"Pavlos Andreadis","Research Clusters>Creativity, AI and the Human","AI in knowledge and learning contexts|Human-centred and social dimensions of AI","College of Science &amp; Engineering>School of Informatics",
48580,"SJ Bennett","Research Clusters>Creativity, AI and the Human",,,
48581,"Suzanne Black","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|Human-centred and social dimensions of AI|Theories and practices of creativity","University of Edinburgh",
